Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 119,51,147599,2.43,4.7609,1.5,16.38421,5.2,0.565995,5.0,0.957,2891.4,115.7,2899.5,49.7,2905.1,24.4,2905.1,24.4,99.5,99.7
MR24-006 121,79,61397,1.31,16.1819,2.8,0.83784,4.6,0.098374,3.7,0.793,604.9,21.2,618.0,21.5,666.1,60.5,604.9,21.2,90.8,97.9
MR24-006 122,301,163305,2.25,16.7716,1.9,0.81383,3.8,0.099038,3.3,0.869,608.8,19.0,604.6,17.1,589.0,40.3,608.8,19.0,103.4,100.7
MR24-006 124,126,119720,2.79,16.6252,2.6,0.84281,4.2,0.10167,3.3,0.786,624.2,19.6,620.7,19.4,608.0,56.0,624.2,19.6,102.7,100.6
MR24-006 125,114,14842,3.22,5.35,2.3,11.67703,3.8,0.453297,3.0,0.797,2409.9,60.2,2578.9,35.2,2714.4,37.5,2714.4,37.5,88.8,93.4
MR24-006 126,185,314641,2.92,7.721,1.6,6.75522,3.7,0.378449,3.3,0.9,2069.0,58.7,2079.9,32.6,2090.6,28.2,2090.6,28.2,99.0,99.5
MR24-006 127,302,216623,2.3,7.2846,1.6,7.40045,3.7,0.391163,3.3,0.9,2128.2,60.5,2161.0,33.2,2192.3,28.1,2192.3,28.1,97.1,98.5
MR24-006 128,122,193940,1.34,8.8465,1.8,5.11511,3.6,0.328337,3.2,0.869,1830.3,50.5,1838.6,31.0,1848.0,32.7,1848.0,32.7,99.0,99.5
MR24-006 129,121,11862,2.75,13.3906,8.1,0.46471,8.6,0.045152,2.9,0.339,284.7,8.1,387.5,27.8,1059.0,163.5,284.7,8.1,26.9,73.5
MR24-006 130,149,2500,1.28,10.7337,25.5,1.0809,26.1,0.084184,5.6,0.214,521.1,27.9,744.1,137.8,1490.4,484.3,1490.4,484.3,35.0,70.0
MR24-006 133,147,116806,2.83,16.2442,2.1,0.91301,4.7,0.107614,4.3,0.895,658.9,26.6,658.7,23.0,657.9,45.3,658.9,26.6,100.2,100.0
MR24-006 134,270,65687,4.14,12.7249,3.3,1.77765,5.3,0.164133,4.1,0.781,979.7,37.5,1037.3,34.3,1160.8,65.4,1160.8,65.4,84.4,94.4
MR24-006 136,255,34399,1.32,14.7029,2.6,0.85976,4.8,0.091722,4.0,0.839,565.7,21.7,630.0,22.4,868.0,53.8,565.7,21.7,65.2,89.8
MR24-006 139,187,105159,2.95,7.7521,1.8,6.43921,3.4,0.3622,2.9,0.851,1992.6,49.8,2037.6,30.0,2083.5,31.6,2083.5,31.6,95.6,97.8
