Sample,Region,Subregion,Source,Latitude (DD),Longitude (DD),Rock Type,Period,Age (Ma),Error (Ma),Lower Error (Ma),Error Type,System,Material,Technique,DOI,Data Available,Notes,,,UTM 29N Easting,UTM 29N Northing,Latitude (D),Latitude (M),Latitude (S),Longitude (D),Longitude (M),Longitude (S)
Azegour Granite,High Atlas,Marrakech,Mrini et al. (1992),31.16,-8.36,Granite,Permian,271,3,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
SRYN 338,Western Meseta,Rehamna,Ait Lahna et al. (2018),NA,NA,Metarhyolite,Carboniferous,339.5,0.89,,2sig,U-Pb,Zircon,SHRIMP,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/323988101_The_Lalla_Tittaf_Formation_Rehamna_Morocco_Paleoproterozoic_or_Paleozoic_age/links/5ab6406a45851515f59b5482/The-Lalla-Tittaf-Formation-Rehamna-Morocco-Paleoproterozoic-or-Paleozoic-age.pdf,Abstract,,,,,,,,,,,
BM 20,Western Meseta,Rehamna,Hadimi et al. (2018),32.63866944,-7.748547222,Rhyolite,Permian,285.3,4.9,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864085_The_Post-Collisional_Hercynian_Volcanism_of_Rehamna_Western_Meseta_Morocco_Mineral_Chemistry_Petrology_and_U-Pb_dating/links/5b0af848a6fdcc8c253452c7/The-Post-Collisional-Hercynian-Volcanism-of-Rehamna-Western-Meseta-Morocco-Mineral-Chemistry-Petrology-and-U-Pb-dating.pdf,Abstract,,,,,,32,38,19.21,-7,45,5.23
YT 304,Western Meseta,Zaer,Youbi et al. (2018),32.99473333,-5.623491667,Dacite,Permian,295.1,2.9,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864797_U-Pb_Zircon_Geochronological_and_Petrologic_Constraints_on_the_Post-Collisional_Variscan_Volcanism_of_the_Khenifra_Basin_Western_Meseta_Morocco_Stratigraphic_and_Petrogenetic_Implications/links/5b029008a6fdccf9e4f6c8b6/U-Pb-Zircon-Geochronological-and-Petrologic-Constraints-on-the-Post-Collisional-Variscan-Volcanism-of-the-Khenifra-Basin-Western-Meseta-Morocco-Stratigraphic-and-Petrogenetic-Implications.pdf,Abstract,,,,,,32,59,41.04,-5,38,35.43
YT 300,Western Meseta,Zaer,Youbi et al. (2018),33.03646944,-5.686797222,Rhyolite,Permian,290.3,2.1,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864797_U-Pb_Zircon_Geochronological_and_Petrologic_Constraints_on_the_Post-Collisional_Variscan_Volcanism_of_the_Khenifra_Basin_Western_Meseta_Morocco_Stratigraphic_and_Petrogenetic_Implications/links/5b029008a6fdccf9e4f6c8b6/U-Pb-Zircon-Geochronological-and-Petrologic-Constraints-on-the-Post-Collisional-Variscan-Volcanism-of-the-Khenifra-Basin-Western-Meseta-Morocco-Stratigraphic-and-Petrogenetic-Implications.pdf,Abstract,,,,,,33,2,11.29,-5,42,47.53
YT 301,Western Meseta,Zaer,Youbi et al. (2018),33.03469444,-5.687594444,Andesite/Rhyolite,Permian,287.9,3.8,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864797_U-Pb_Zircon_Geochronological_and_Petrologic_Constraints_on_the_Post-Collisional_Variscan_Volcanism_of_the_Khenifra_Basin_Western_Meseta_Morocco_Stratigraphic_and_Petrogenetic_Implications/links/5b029008a6fdccf9e4f6c8b6/U-Pb-Zircon-Geochronological-and-Petrologic-Constraints-on-the-Post-Collisional-Variscan-Volcanism-of-the-Khenifra-Basin-Western-Meseta-Morocco-Stratigraphic-and-Petrogenetic-Implications.pdf,Abstract,,,,,,33,2,4.9,-5,42,44.66
YT 302,Western Meseta,Zaer,Youbi et al. (2018),33.03120278,-5.692186111,Rhyolite,Permian,290.6,2.6,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864797_U-Pb_Zircon_Geochronological_and_Petrologic_Constraints_on_the_Post-Collisional_Variscan_Volcanism_of_the_Khenifra_Basin_Western_Meseta_Morocco_Stratigraphic_and_Petrogenetic_Implications/links/5b029008a6fdccf9e4f6c8b6/U-Pb-Zircon-Geochronological-and-Petrologic-Constraints-on-the-Post-Collisional-Variscan-Volcanism-of-the-Khenifra-Basin-Western-Meseta-Morocco-Stratigraphic-and-Petrogenetic-Implications.pdf,Abstract,,,,,,33,1,52.33,-5,42,28.13
YT 303,Western Meseta,Zaer,Youbi et al. (2018),33.02903056,-5.695097222,Dacite,Permian,280.3,2.1,,2sig,U-Pb,Zircon,LA-ICPMS,https://www.researchgate.net/profile/Moulay-Ahmed-Boumehdi-2/publication/324864797_U-Pb_Zircon_Geochronological_and_Petrologic_Constraints_on_the_Post-Collisional_Variscan_Volcanism_of_the_Khenifra_Basin_Western_Meseta_Morocco_Stratigraphic_and_Petrogenetic_Implications/links/5b029008a6fdccf9e4f6c8b6/U-Pb-Zircon-Geochronological-and-Petrologic-Constraints-on-the-Post-Collisional-Variscan-Volcanism-of-the-Khenifra-Basin-Western-Meseta-Morocco-Stratigraphic-and-Petrogenetic-Implications.pdf,Abstract,,,,,,33,1,44.51,-5,42,17.65
Baudin01-1,Western Meseta,Zaer,Baudin et al. (2001),33.414,-6.08,Granite,Permian,297,16,7,2sig,U-Pb,Zircon,ID-TIMS,Oulmes (50K),Map,Error is plus only,,,,,,,,,,
Baudin01-2,Western Meseta,Zaer,Baudin et al. (2001),33.414,-6.08,Granite,Permian,296.2,2.9,,2sig,U-Pb,Zircon,SHRIMP,Oulmes (50K),Map,,,,,,,,,,,
Baudin04,Western Meseta,Rehamna,Baudin et al. (2004),32.962,-7.925,Microgranitic Dyke,Permian,285.4,6.1,,2sig,U-Pb,Zircon,ID-TIMS,Skhour des Rehamna (50K),Map,,,,,,,,,,,
Chevremont01,Western Meseta,Zaer,Cailleux et al. (2001),33.417,-6.642,Granodiorite,Permian,291,16,7,2sig,U-Pb,Zircon,ID-TIMS,Ezzhiliga (50K),Map,Error is plus only,,,,,,,,,,
Ettachfini18-1,High Atlas,Marrakech,Ettachfini et al. (2018),31.169,-8.316,Granite,Permian,275.6,3.4,,2sig,U-Pb,Zircon,SHRIMP,Azegour (50K),Map,,,,,,,,,,,
Ettachfini18-2,High Atlas,Marrakech,Ettachfini et al. (2018),31.168,-8.3,Rhyolite,Permian,279,2.6,,2sig,U-Pb,Zircon,SHRIMP,Azegour (50K),Map,,,,,,,,,,,
Eeachfinit18-3,High Atlas,Marrakech,Ettachfini et al. (2018),31.168,-8.295,Microgranite,Permian,283,3,,2sig,U-Pb,Zircon,SHRIMP,Azegour (50K),Map,,,,,,,,,,,
Fekkak18-1,High Atlas,Marrakech,Fekkak et al. (2018),31.249,-8.508,Granite,Permian,270,1.8,,2sig,U-Pb,Zircon,SHRIMP,Addouz (50K),Map,,,,,,,,,,,
Fekkak18-2,High Atlas,Marrakech,Fekkak et al. (2018),31.115,-8.513,Granite,Permian,299,3,,2sig,U-Pb,Zircon,SHRIMP,Addouz (50K),Map,,,,,,,,,,,
